2024-07-14 14:09:32 500 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=kr] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 135]
2024-07-14 14:11:49 200 [GET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=kr] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 403]
2024-07-14 14:11:51 200 [GET /api/v1/summoners/kr/%ED%83%80%20%EC%9E%94-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/%ED%83%80%20%EC%9E%94-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 401]
2024-07-14 14:11:51 200 [GET /api/v1/leagues/by-summoner/Mz-vHATI4ZveZDlKXBKfQpYQ_bBaFlzD-ylu90JC6FAwGVY HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/%ED%83%80%20%EC%9E%94-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 166]
2024-07-14 14:11:51 200 [GET /api/v1/rank/champions?puuid=b-_PLpGpgu2b4S1rP03ep8CbuzBsH7F8BXban4RuNEGejRStCACq0pF3vCYixaYajXgg9N07dxVrcw&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/%ED%83%80%20%EC%9E%94-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-14 14:11:52 200 [GET /api/v1/matches?puuid=b-_PLpGpgu2b4S1rP03ep8CbuzBsH7F8BXban4RuNEGejRStCACq0pF3vCYixaYajXgg9N07dxVrcw&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/%ED%83%80%20%EC%9E%94-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 305614]
2024-07-14 14:11:55 200 [GET /api/v1/summoners/kr/%ED%83%80%20%EC%9E%94-KR1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/%ED%83%80%20%EC%9E%94-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 401]
2024-07-14 14:11:55 200 [GET /api/v1/leagues/by-summoner/Mz-vHATI4ZveZDlKXBKfQpYQ_bBaFlzD-ylu90JC6FAwGVY HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/%ED%83%80%20%EC%9E%94-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 166]
2024-07-14 14:11:55 200 [GET /api/v1/rank/champions?puuid=b-_PLpGpgu2b4S1rP03ep8CbuzBsH7F8BXban4RuNEGejRStCACq0pF3vCYixaYajXgg9N07dxVrcw&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/%ED%83%80%20%EC%9E%94-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 936]
2024-07-14 14:11:55 200 [GET /api/v1/matches?puuid=b-_PLpGpgu2b4S1rP03ep8CbuzBsH7F8BXban4RuNEGejRStCACq0pF3vCYixaYajXgg9N07dxVrcw&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/%ED%83%80%20%EC%9E%94-KR1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 301390]
2024-07-14 14:12:04 200 [GET /api/v1/summoners/search?q=hide+on+bush-KR21&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/search?q=hide%2520on%2520bush-KR21&region=kr] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 424]
